Subject Mentioned in the Part,Articles in Indian Constitution
Union & Its Territory,Article 1-4
Citizenship,Article 5-11
Fundamental Rights,Article 12-35
Directive Principles,Article 36-51
Fundamental Duties,Article 51A
The Union,Article 52-151
The States,Article 152-237
The Union Territories,Article 239-242
The Panchayats,Article 243-243O
The Municipalities,Article 243P-243ZG
Co-operative Societies,Article 243ZH-243ZT
Scheduled and Tribal Areas,Article 244-244A
Relation between Union & States,Article 245-263
"Finance, Property, Contracts and Suits",Article 264-300A
"Trade, Commerce and Intercourse within the territory of India",Article 301-307
Services under the Union and States,Article 308-323
Tribunals,Article 323A-323B
Elections,Article 324-329A
Special Provisions relating to certain classes,Article 330-342
Official Languages,Article 343-351
Emergency Provisions,Article 352-360
Miscellaneous,Article 361-367
Amendment of the Constitution,Article 368
"Temporary, Transitional and Special Provisions",Article 369-392
"Short title, Commencement, Authoritative Text in Hindi and Repeals",Article 393-395
